node_id,node_type,label,score,priority,state,question,layer,channels,role
pattern:charged,particle_pattern,charged,171.0,,,,,,
pattern:core_high_pt,particle_pattern,core_high_pt,161.0,,,,,,
class:label_Hqql,class,label_Hqql,149.0,,,,,,
class:label_Tbl,class,label_Tbl,124.0,,,,,,
pattern:particle0,particle_pattern,particle0,120.0,,,,,,
pattern:other_particle,particle_pattern,other_particle,75.0,,,,,,
pattern:wide,particle_pattern,wide,42.0,,,,,,
class:label_Wqq,class,label_Wqq,15.0,,,,,,
class:label_Zqq,class,label_Zqq,8.0,,,,,,
hypothesis:AH1,hypothesis,distributed core-anchor + secondary context,4.335910543318717,,,,,,
class:label_QCD,class,label_QCD,4.0,,,,,,
hypothesis:T6_WIDE_SECONDARY_CONTEXT,hypothesis,wide secondary context,2.837154507637024,,,,,,
run:latest,run,latest run 9,1.0,,,,,,
task:T1_PARTICLE0_SHORTCUT_OR_CORE_ANCHOR,task,T1_PARTICLE0_SHORTCUT_OR_CORE_ANCHOR,1.0,P0,HIGH,Is the all-head system over-dominated by particle0 / leading-core evidence?,,,
task:T3_NEGATIVE_SUPPRESSIVE_GATES,task,T3_NEGATIVE_SUPPRESSIVE_GATES,1.0,P1,HIGH,Are there heads that suppress the current class logit?,,,
task:T5_PATCH_VS_GRADIENT_DIVERGENCE,task,T5_PATCH_VS_GRADIENT_DIVERGENCE,1.0,P1,HIGH,"Which heads are patch-important but not gradient-important, or gradient-important but not patch-important?",,,
hypothesis:AH3,hypothesis,single-head and all-head evidence differ,1.0,,,,,,
task:T4_HQQL_TBL_SIGNATURE,task,T4_HQQL_TBL_SIGNATURE,0.975,P0,HIGH,Is the current stream dominated by Hqql/Tbl high-confidence events?,,,
hypothesis:AH2,hypothesis,Hqql/Tbl high-confidence signature,0.975,,,,,,
task:T2_HEAD_RANK_STABILITY,task,T2_HEAD_RANK_STABILITY,0.9511111111111111,P0,HIGH,Do the same heads stay important across snapshots?,,,
head:L1_ch112:128,head,L1_ch112:128,0.8005718103609979,,,Does this pseudo-head combine previous learned features into a class-separating particle-neighborhood answer?,1,ch112:128,middle learned-neighborhood / route-composition head
hypothesis:AH4,hypothesis,head-system mixture across layers,0.8005718103609979,,,,,,
head:L0_ch40:48,head,L0_ch40:48,0.6734583724290131,,,Does this pseudo-head convert raw particle features and local geometry into first-stage message evidence?,0,ch40:48,early feature/geometry/PID reader
head:L2_ch224:256,head,L2_ch224:256,0.6716344718355686,,,Does this pseudo-head aggregate higher-level particle-neighborhood evidence before the classifier?,2,ch224:256,late aggregation / class-evidence head
head:L1_ch16:32,head,L1_ch16:32,0.6645292914472519,,,Does this pseudo-head combine previous learned features into a class-separating particle-neighborhood answer?,1,ch16:32,middle learned-neighborhood / route-composition head
head:L0_ch48:56,head,L0_ch48:56,0.3620088746538386,,,Does this pseudo-head convert raw particle features and local geometry into first-stage message evidence?,0,ch48:56,early feature/geometry/PID reader
head:L2_ch128:160,head,L2_ch128:160,0.35113537810975676,,,Does this pseudo-head aggregate higher-level particle-neighborhood evidence before the classifier?,2,ch128:160,late aggregation / class-evidence head
