comparison_id,claim,support_signal,contradiction_signal,missing_control,risk,recommended_next_experiment,status,priority,training_label,evidence_json,source
C10_KNOWN_OBSERVABLE_RESIDUAL,discovery-relevant signals must survive known-observable baselines,current signals use particles/heads but not residual after mass/tau/nparticles/pt,no residual baseline yet,known-observable residual analysis,particle0/core may be explained by pt/mass/nparticles/tau variables,fit known observables then test whether head/particle signals explain residual errors or logits,MISSING_RESIDUAL_TEST,P0,known_observable_residual_required,{},
C13_PER_FILE_HELDOUT_STABILITY,relations should survive different ROOT files and tar parts,snapshots=11 but no per-file heldout breakdown,per-file heldout missing,per-file/per-tar-part stability report,same extracted tiny files can fake stable patterns,run stream over more ROOT files and compare head/rule signals per file and per class,NEEDS_HELDOUT,P0,per_file_heldout_required,{},
C14_ORDERING_VS_PHYSICAL_COORDINATE,particle0 dominance must be separated from particle ordering/sorting,particle0_edge_signal=0.986864441102955 support=120,order/shuffle control missing,particle-order shuffle / coordinate-only comparison,"particle index can encode sorting by pt, not a physical interaction",run particle order shuffle and compare index-based vs pt/deltaR-based signals,NEEDS_ORDER_CONTROL,P0,particle_order_control_required,"{""src"": ""pattern:particle0"", ""dst"": ""hypothesis:AH1"", ""relation_type"": ""pattern_supports_hypothesis"", ""support"": ""120"", ""strength_sum"": ""27.53818972118073"", ""max_strength"": ""4.701809406280518"", ""lift_like"": ""2.5"", ""confidence"": ""HIGH"", ""risk"": ""may be leading-particle shortcut"", ""next_control"": ""remove particle0 / keep only particle0 / top-k controls"", ""evidence"": ""pattern:particle0 dominates top particle stream"", ""mean_strength"": ""0.22948491434317272"", ""relation_signal"": ""0.986864441102955""}",
C15_DISCOVERY_READINESS_SCORE,"a hypothesis is discovery-relevant only after controls, heldout, residual, and cross-model tests",p0_missing_count=7 readiness=method_debug,many P0 controls missing,"C1_STREAM_RELATION_VS_MISSING_CONTROL, C5_CLASS_SIGNATURE_VS_CLASS_SPECIFIC_GRADIENT, C2_WIDE_PATTERN_VS_ROUTE_TRACE, C8_CLASS_CONCENTRATION_VS_IMBALANCE, C10_KNOWN_OBSERVABLE_RESIDUAL, C13_PER_FILE_HELDOUT_STABILITY, C14_ORDERING_VS_PHYSICAL_COORDINATE",correlation-only relation is not a discovery claim,complete P0 controls before claiming physics/discovery relevance,METHOD_DEBUG_NOT_DISCOVERY_READY,P0,discovery_readiness_gate,"{""missing_p0"": [""C1_STREAM_RELATION_VS_MISSING_CONTROL"", ""C5_CLASS_SIGNATURE_VS_CLASS_SPECIFIC_GRADIENT"", ""C2_WIDE_PATTERN_VS_ROUTE_TRACE"", ""C8_CLASS_CONCENTRATION_VS_IMBALANCE"", ""C10_KNOWN_OBSERVABLE_RESIDUAL"", ""C13_PER_FILE_HELDOUT_STABILITY"", ""C14_ORDERING_VS_PHYSICAL_COORDINATE""]}",
C16_BIG_STREAM_READINESS,large stream should run with summaries and known P0 controls tracked,current_snapshots=11 stream_events=4871,large stream without particle0/order controls may only amplify shortcut evidence,run sampled large stream plus immediately run controls,big data can make wrong shortcut look very confident,"run staged large stream: 64 smoke -> 256 -> 512/1024, then particle0/top-k controls",RUN_SAMPLED_LARGE_STREAM_BUT_PRIORITIZE_CONTROLS,P0,big_stream_staged_run,"{""snapshots"": 11, ""events"": 4871}",
C1_STREAM_RELATION_VS_MISSING_CONTROL,particle0/core_high_pt relation supports AH1 core-anchor hypothesis,relation_signal=1.0 support=153,none yet; controls not run,particle0/top-k/random controls,could be sorting shortcut or normal leading-particle bias,run particle0 removal / keep-only particle0 / top-k removal / same-count random controls,CANDIDATE_STRONG_MISSING_CONTROL,P0,particle0_topk_controls_required,"{""src"": ""pattern:core_high_pt"", ""dst"": ""hypothesis:AH1"", ""relation_type"": ""pattern_supports_hypothesis"", ""support"": ""153"", ""strength_sum"": ""26.58676674277878"", ""max_strength"": ""4.701809406280518"", ""lift_like"": ""1.9607843137254901"", ""confidence"": ""MEDIUM"", ""risk"": ""may be leading-particle shortcut"", ""next_control"": ""remove particle0 / keep only particle0 / top-k controls"", ""evidence"": ""pattern:core_high_pt dominates top particle stream"", ""mean_strength"": ""0.17376971727306392"", ""relation_signal"": ""1.0""}",v1
C2_WIDE_PATTERN_VS_ROUTE_TRACE,wide particle pattern may be secondary context rather than noise,relation_signal=0.7261321500647455 support=30 dst=hypothesis:T6_WIDE_SECONDARY_CONTEXT,none yet; route-neighbor trace missing,route-neighbor trace / causal route controls,"wide relation can be class imbalance, loose fragments, or sorting artifact",run route-neighbor trace for top all-head particles and wide non-particle0 particles,NEEDS_ROUTE_TRACE,P0,route_neighbor_trace_required,"{""src"": ""pattern:wide"", ""dst"": ""hypothesis:T6_WIDE_SECONDARY_CONTEXT"", ""relation_type"": ""pattern_supports_hypothesis"", ""support"": ""30"", ""strength_sum"": ""8.63569876895501"", ""max_strength"": ""2.952295020222664"", ""lift_like"": ""2.5"", ""confidence"": ""MEDIUM"", ""risk"": ""needs KNN neighbor and causal route controls"", ""next_control"": ""route-neighbor trace"", ""evidence"": ""wide particles support label_Tbl"", ""mean_strength"": ""0.2878566256318337"", ""relation_signal"": ""0.7261321500647455""}",v1
C5_CLASS_SIGNATURE_VS_CLASS_SPECIFIC_GRADIENT,Hqql/Tbl signature is strong in stream but global gradients are not class-specific,watcher_score=0.975 state=HIGH,none yet; class-specific gradient missing,class-specific all-head gradients,global all-head gradient can hide class-specific roles,run class-specific all-head gradients for Hqql/Tbl/Tbqq/Wqq/Zqq,NEEDS_CLASS_SPECIFIC_TEST,P0,class_specific_gradient_required,"{""task_id"": ""T4_HQQL_TBL_SIGNATURE"", ""priority"": ""P0"", ""state"": ""HIGH"", ""score"": 0.975, ""question"": ""Is the current stream dominated by Hqql/Tbl high-confidence events?"", ""next_action"": ""Run class-specific all-head gradients: Hqql, Tbl, Tbqq, Wqq, Zqq."", ""features_json"": ""{\""top_particles\"": 80, \""hqql_fraction\"": 0.8125, \""tbl_fraction\"": 0.1625, \""hqql_tbl_fraction\"": 0.975}""}",v1
C7_SAMPLE_SIZE_SCALING,signals must scale from small snapshots to larger streams,"distinct_n_events=[640, 2560, 5120] snapshots=11",multiple event scales available,,large stream can amplify shortcuts if controls are missing,"run stream cycles at SAMPLES_PER_FILE=64,256,512,1024 with HISTORY_COPY=1 and compare ranks/signals",SCALING_PARTIAL,P0,sample_size_scaling_required,"{""n_events"": [640, 2560, 5120], ""dynamics"": [{""run_index"": 0, ""source_path"": ""manifests/history/research_evidence_graph_20260616_040530.json"", ""generated_at_utc"": ""2026-06-16T04:05:30.121747+00:00"", ""n_nodes"": 1080, ""n_edges"": 1255, ""n_head_vectors"": 24, ""n_particle_vectors"": 959, ""baseline_acc"": 0.7574218511581421, ""n_events"": 2560}, {""run_index"": 1, ""source_path"": ""manifests/history/research_evidence_graph_20260616_041017.json"", ""generated_at_utc"": ""2026-06-16T04:10:17.558878+00:00"", ""n_nodes"": 1080, ""n_edges"": 1255, ""n_head_vectors"": 24, ""n_particle_vectors"": 959, ""baseline_acc"": 0.7574218511581421, ""n_events"": 2560}, {""run_index"": 2, ""source_path"": ""manifests/history/research_evidence_graph_20260616_041240.json"", ""generated_at_utc"": ""2026-06-16T04:12:40.863052+00:00"", ""n_nodes"": 814, ""n_edges"": 966, ""n_head_vectors"": 24, ""n_particle_vectors"": 710, ""baseline_acc"": 0.7718750238418579, ""n_events"": 640}, {""run_index"": 3, ""source_path"": ""manifests/history/research_evidence_graph_20260616_042436.json"", ""generated_at_utc"": ""2026-06-16T04:24:36.833330+00:00"", ""n_nodes"": 814, ""n_edges"": 966, ""n_head_vectors"": 24, ""n_particle_vectors"": 710, ""baseline_acc"": 0.7718750238418579, ""n_events"": 640}, {""run_index"": 4, ""source_path"": ""manifests/history/research_evidence_graph_20260616_042447.json"", ""generated_at_utc"": ""2026-06-16T04:24:47.422420+00:00"", ""n_nodes"": 814, ""n_edges"": 966, ""n_head_vectors"": 24, ""n_particle_vectors"": 710, ""baseline_acc"": 0.7718750238418579, ""n_events"": 640}, {""run_index"": 5, ""source_path"": ""manifests/history/research_evidence_graph_20260616_042512.json"", ""generated_at_utc"": ""2026-06-16T04:25:12.140529+00:00"", ""n_nodes"": 1076, ""n_edges"": 1246, ""n_head_vectors"": 24, ""n_particle_vectors"": 950, ""baseline_acc"": 0.7718750238418579, ""n_events"": 640}, {""run_index"": 6, ""source_path"": ""manifests/history/research_evidence_graph_20260616_042601.json"", ""generated_at_utc"": ""2026-06-16T04:26:01.675182+00:00"", ""n_nodes"": 1080, ""n_edges"": 1255, ""n_head_vectors"": 24, ""n_particle_vectors"": 959, ""baseline_acc"": 0.7574218511581421, ""n_events"": 2560}, {""run_index"": 7, ""source_path"": ""manifests/history/research_evidence_graph_20260616_042901.json"", ""generated_at_utc"": ""2026-06-16T04:29:01.473693+00:00"", ""n_nodes"": 1080, ""n_edges"": 1255, ""n_head_vectors"": 24, ""n_particle_vectors"": 959, ""baseline_acc"": 0.7574218511581421, ""n_events"": 2560}, {""run_index"": 8, ""source_path"": ""manifests/history/research_evidence_graph_20260616_043031.json"", ""generated_at_utc"": ""2026-06-16T04:30:31.493657+00:00"", ""n_nodes"": 1080, ""n_edges"": 1255, ""n_head_vectors"": 24, ""n_particle_vectors"": 959, ""baseline_acc"": 0.7574218511581421, ""n_events"": 2560}, {""run_index"": 9, ""source_path"": ""manifests/history/research_evidence_graph_20260616_050652.json"", ""generated_at_utc"": ""2026-06-16T05:06:52.665592+00:00"", ""n_nodes"": 2027, ""n_edges"": 2241, ""n_head_vectors"": 24, ""n_particle_vectors"": 1865, ""baseline_acc"": 0.7574218511581421, ""n_events"": 2560}]}",
C8_CLASS_CONCENTRATION_VS_IMBALANCE,Hqql/Tbl dominance may be real class signature or sampling bias,watcher_score=0.975 state=HIGH,class-balanced/natural-distribution comparison missing,balanced-vs-natural stream comparison,balanced tiny subset can overstate class signatures; natural distribution can hide rare patterns,"run one balanced stream and one natural/random-file stream, compare class signatures",NEEDS_CLASS_DISTRIBUTION_CHECK,P0,class_distribution_check_required,"{""task_id"": ""T4_HQQL_TBL_SIGNATURE"", ""priority"": ""P0"", ""state"": ""HIGH"", ""score"": 0.975, ""question"": ""Is the current stream dominated by Hqql/Tbl high-confidence events?"", ""next_action"": ""Run class-specific all-head gradients: Hqql, Tbl, Tbqq, Wqq, Zqq."", ""features_json"": ""{\""top_particles\"": 80, \""hqql_fraction\"": 0.8125, \""tbl_fraction\"": 0.1625, \""hqql_tbl_fraction\"": 0.975}""}",
